Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
I-Nspire Community Coalition,Virtual,,,,'+15622003438,https://www.inspirecommunitycoalition.org/home/,Robert Robinson,Founder and Executive Director,rrobinson@inspirecommunitycoalition.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,Digital literacy & skills training,City-wide or across multiple cities,Los Angeles,,Virtually,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,No,English,Organizational training,No. Our services are offered free of cost.,1/12/26 15:03
Centro CHA Inc.,Virtual,,,,'+15626124162,https://www.centrocha.org,Jessica Quintana,Executive Director,jessica@centrocha.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,,Virtually,https://www.centrocha.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other","English, Spanish","Digital equity grant writing, Organizational training, Train-the-trainer, Mutual aid (financial), Partnership opportunities, Collective action, Information sharing, Other",No. Our services are offered free of cost.,1/12/26 14:55
Centro CHA Inc.,200 Pine Avenue Long Beach Boulevard suite 550,Long Beach,CA,90802,'+15626124162,https://www.centrocha.org,Jessica Quintana,Executive Director,jessica@centrocha.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,,In-Person,,"401Golden Avenue Long Beach, CA 90802 / 200 Pine Avenue suite 550 90802",Long Beach,'+15629002409,Mon -Friday 7:30-4:30pm,https://www.centrocha.org,"401Golden Avenue Long Beach, CA 90802 / 200 Pine Avenue suite 550 90802",Long Beach,'+15629002409,Mon -Friday 7:30-4:30pm,https://www.centrocha.org,"401Golden Avenue Long Beach, CA 90802 / 200 Pine Avenue suite 550 90802",Long Beach,'+15629002409,Mon -Friday 7:30-4:30pm,https://www.centrocha.org,"401Golden Avenue Long Beach, CA 90802 / 200 Pine Avenue suite 550 90802",Long Beach,'+15629002409,Mon -Friday 7:30-4:30pm,https://www.centrocha.org,"401Golden Avenue Long Beach, CA 90802 / 200 Pine Avenue suite 550 90802",Long Beach,'+15629002409,Mon -Friday 7:30-4:30pm,https://www.centrocha.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other","English, Spanish","Digital equity grant writing, Organizational training, Train-the-trainer, Mutual aid (financial), Partnership opportunities, Collective action, Information sharing, Other",No. Our services are offered free of cost.,1/12/26 14:55
Human-I-T,Virtual,,,,'+18882683921,https://www.human-i-t.org/,,,programs@human-i-t.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Online educational resources",Statewide,,,Virtually,https://store.human-i-t.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Digital equity grant writing, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,1/12/26 14:43
City of Los Angeles,Virtual,,,,'+12139780600,https://getconnected.lacity.gov/,Jaymie Park,Digital Inclusion Policy Manager,jaymie.park@lacity.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Workforce development resources",City-wide or across multiple cities,Los Angeles,,Virtually,https://getconnected.lacity.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Korean, Other",,No. Our services are offered free of cost.,1/12/26 14:40
City of Los Angeles,200 North Spring Street,Los Angeles,CA,90012,'+12139780600,https://getconnected.lacity.gov/,Jaymie Park,Digital Inclusion Policy Manager,jaymie.park@lacity.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Workforce development resources",City-wide or across multiple cities,Los Angeles,,In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Korean, Other",,No. Our services are offered free of cost.,1/12/26 14:40
Laserfiche,Virtual,,,,'+15629881688,https://www.Laserfiche.com,Jenny Bode,Vp of People,jenny.bode@laserfiche.com,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,Digital literacy & skills training,Statewide,,,Virtually,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,No,English,Partnership opportunities,No. Our services are offered free of cost.,1/12/26 14:26
Homeboy Industries,130 Bruno St,Los Angeles,CA,90012-1815,'+13235261254,https://homeboyindustries.org/,Brittany Morton; Fabian Garcia; Lami Glen; Jaideep Upadhyay,Director of Educational Services; Director of Government Relations; Fleet Manager; Institutional Giving Officer,bmorton@homeboyindustries.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Workforce development resources",City-wide or across multiple cities,Los Angeles,,In-Person,,Homeboy Industries,Los Angeles,'+13235261254,8:30-4:00,https://homeboyindustries.org/,Homeboy Industries,Los Angeles,'+13235261254,8:30-4:00,https://homeboyindustries.org/,Homeboy Industries,Los Angeles,'+13235261254,8:30-4:00,https://homeboyindustries.org/,Homeboy Industries,Los Angeles,'+13235261254,8:30-4:00,https://homeboyindustries.org/,Homeboy Industries,Los Angeles,'+13235261254,8:30-4:00,https://homeboyindustries.org/,No. Our services are offered free of cost.,"Yes, Individuals with Disabilities, Ethnic or Minority Communities, Other",English,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,1/12/26 13:52
Cox Communications,Virtual,,,,'+18002343993,https://cox.com/awwr,Cassandra Weinlein,"VP, Field Government and Public Affairs",cassandra.weinlein@cox.com,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",Yes,"Enrollment assistance in low-cost internet service programs, Computer center(s), Online educational resources",City-wide or across multiple cities,"Los Angeles, Orange, San Diego, Santa Barbara, Ventura",,Virtually,https://www.cox.com/AWWR,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s more than $25.,"Yes, Other","English, Spanish",Partnership opportunities,No. Our services are offered free of cost.,1/12/26 13:49
Cox Communications,30652 Santa Margarita Pkwy,Rancho Santa Margarita,CA,92688,'+18002343993,https://cox.com/awwr,Cassandra Weinlein,"VP, Field Government and Public Affairs",cassandra.weinlein@cox.com,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",Yes,"Enrollment assistance in low-cost internet service programs, Computer center(s), Online educational resources",City-wide or across multiple cities,"Los Angeles, Orange, San Diego, Santa Barbara, Ventura",,In-Person,,Rancho Santa Margarita Solutions Store,Rancho Santa Margarita,'+19492169765,Mon-Sat: 10-6,,Rancho Santa Margarita Solutions Store,Rancho Santa Margarita,'+19492169765,Mon-Sat: 10-6,,Rancho Santa Margarita Solutions Store,Rancho Santa Margarita,'+19492169765,Mon-Sat: 10-6,,Rancho Santa Margarita Solutions Store,Rancho Santa Margarita,'+19492169765,Mon-Sat: 10-6,,Rancho Santa Margarita Solutions Store,Rancho Santa Margarita,'+19492169765,Mon-Sat: 10-6,,Yes. We charge a fee for our services and it’s more than $25.,"Yes, Other","English, Spanish",Partnership opportunities,No. Our services are offered free of cost.,1/12/26 13:49
East Bay Broadband Consortium,Virtual,,,,'+15185428105,https://www.eastbaybroadband.org/,Patrick Messac,Director,info@eastbaybroadband.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,Technical support,County-wide or across multiple counties,"Alameda, Contra Costa, Solano",,Virtually,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,Yes,"English, Spanish","Digital equity grant writing, Organizational training, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,1/12/26 13:16
"California State University, Dominguez Hills",Virtual,,,,'+13102433823,https://win.csudh.edu,Krystal Rawls,"Director, Workforce Integration Network",kmrawls@csudh.edu,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,,Virtually,https://csudh.edu,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s more than $25.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Digital equity grant writing, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,1/12/26 12:50
"California State University, Dominguez Hills",1000 E Victoria Street,Carson,CA,90747,'+13102433823,https://win.csudh.edu,Krystal Rawls,"Director, Workforce Integration Network",kmrawls@csudh.edu,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,,In-Person,,"California State University, Dominguez Hills",Carson,,,,"California State University, Dominguez Hills",Carson,,,,"California State University, Dominguez Hills",Carson,,,,"California State University, Dominguez Hills",Carson,,,,"California State University, Dominguez Hills",Carson,,,,Yes. We charge a fee for our services and it’s more than $25.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Digital equity grant writing, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,1/12/26 12:50
"Lekindracy Group, LLC",Virtual,,,,'+17604479805,https://lekindracy.com,Krystal Rawls,Co-owner,rawls@lekindracy.com,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,Online educational resources,Other,,,Virtually,https://lekindracy.com,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Ethnic or Minority Communities",English,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action",Yes. We charge a fee for our services.,1/12/26 12:41
Fresno Coalition for Digital Inclusion (FCDI),Virtual,,,,'+15598990789,https://connectfresno.org/,Lindsey Skolnik,Project Coordinator,info@connectfresno.org,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,Online educational resources,County-wide or across multiple counties,Fresno,,Virtually,https://connectfresno.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,No,English,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,1/12/26 12:36
City of Palmdale,Virtual,,,,'+16612675416,https://www.cityofpalmdaleca.gov/,Donnita Talavera,Innovation & Environmental Manager,dtalavera@cityofpalmdaleca.gov,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",City-wide or across multiple cities,Los Angeles,,Virtually,https://www.cityofpalmdaleca.gov/1551/16764/Digital-Access,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,1/12/26 12:01
City of Palmdale,700 E Palmdale Blvd,Palmdale,CA,93550,'+16612675416,https://www.cityofpalmdaleca.gov/,Donnita Talavera,Innovation & Environmental Manager,dtalavera@cityofpalmdaleca.gov,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",City-wide or across multiple cities,Los Angeles,,In-Person,,City Library,Palmdale,'+16612675600,7:30am-6:00pm,https://www.cityofpalmdaleca.gov/318/Palmdale-City-Library,City Library,Palmdale,'+16612675600,7:30am-6:00pm,https://www.cityofpalmdaleca.gov/318/Palmdale-City-Library,City Library,Palmdale,'+16612675600,7:30am-6:00pm,https://www.cityofpalmdaleca.gov/318/Palmdale-City-Library,City Library,Palmdale,'+16612675600,7:30am-6:00pm,https://www.cityofpalmdaleca.gov/318/Palmdale-City-Library,City Library,Palmdale,'+16612675600,7:30am-6:00pm,https://www.cityofpalmdaleca.gov/318/Palmdale-City-Library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,1/12/26 12:01
UNITE-LA,Virtual,,,,'+13108961962,https://www.unitela.com/,Liliana Aide Monge,Director of Digital Equity,lmonge@unitela.com,"Business, Community Anchor Institution, Government or Public Organization, Private Sector and Non-Governmental Organizations",,"Digital literacy & skills training, Online educational resources, Workforce development resources",County-wide or across multiple counties,Los Angeles,,Virtually,https://www.unitela.com/events,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other",English,"Digital equity grant writing, Organizational training, Partnership opportunities, Collective action, Information sharing, Other",No. Our services are offered free of cost.,1/12/26 11:50
